TF_ID	Family_ID	TSource_ID	Motif_ID	MSource_ID	DBID	TF_Name	TF_Species	TF_Status	Family_Name	DBDs	DBD_Count	Cutoff	DBID	Motif_Type	MSource_Identifier	MSource_Type	MSource_Author	MSource_Year	PMID	MSource_Version	SR_Model	SR_NoThreshold	TfSource_Name	TfSource_URL	TfSource_Year	TfSource_Month	TfSource_Day
T017886_2.00	F039_2.00	TS12_2.00	M07439_2.00	MS31_2.00	YBR060C	ORC2	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	MA0398.1	PBM, CSA and or DIP-chip	JASPAR	JASPAR	Mathelier	2014	24194598	August 2014	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017886_2.00	F039_2.00	TS12_2.00	M08478_2.00	MS13_2.00	YBR060C	ORC2	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	YDR310C_383	Misc	DeBoer11	Misc	DeBoer	2011	22102575	June 2011	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017886_2.00	F039_2.00	TS12_2.00	M08479_2.00	MS13_2.00	YBR060C	ORC2	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	YDR310C_478	Misc	DeBoer11	Misc	DeBoer	2011	22102575	June 2011	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017886_2.00	F039_2.00	TS12_2.00	M09769_2.00	MS59_2.00	YBR060C	ORC2	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	V$HMGIY_01	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017886_2.00	F039_2.00	TS12_2.00	M09770_2.00	MS59_2.00	YBR060C	ORC2	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	V$HMGIY_Q4	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017886_2.00	F039_2.00	TS12_2.00	M09771_2.00	MS59_2.00	YBR060C	ORC2	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	V$HMGA2_01	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017886_2.00	F039_2.00	TS12_2.00	M09772_2.00	MS59_2.00	YBR060C	ORC2	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	P$HMGIY_01	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M00008_2.00	MS01_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	D	AT hook	AT_hook	1	0.989594959467439	SUM1_2124	PBM	Badis08	PBM	Badis	2008	19111667	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M00750_2.00	MS17_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH2361	PBM	DREAM_contest	PBM	Weirauch	2013	23354101	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M00751_2.00	MS17_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH3046	PBM	DREAM_contest	PBM	Weirauch	2013	23354101	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01103_2.00	MS57_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH9309	PBM	TF_Evolution	PBM	Lambert	2019	NULL	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01104_2.00	MS57_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH11377	PBM	TF_Evolution	PBM	Lambert	2019	NULL	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01105_2.00	MS57_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH11412	PBM	TF_Evolution	PBM	Lambert	2019	NULL	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01106_2.00	MS57_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH11493	PBM	TF_Evolution	PBM	Lambert	2019	NULL	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01107_2.00	MS57_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH11338	PBM	TF_Evolution	PBM	Lambert	2019	NULL	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01108_2.00	MS57_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH11261	PBM	TF_Evolution	PBM	Lambert	2019	NULL	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01517_2.00	MS63_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	D	AT hook	AT_hook	1	0.989594959467439	Sum1	PBM	Zhu09	PBM	Zhu	2009	19158363	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01671_2.00	MS64_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH7395	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01672_2.00	MS64_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH8202	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01673_2.00	MS64_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH9369	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01674_2.00	MS64_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH9242	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01675_2.00	MS64_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH8216	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01676_2.00	MS64_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH9237	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01677_2.00	MS64_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH9222	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01678_2.00	MS64_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH9254	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01679_2.00	MS64_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH7876	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01680_2.00	MS64_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH9180	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01681_2.00	MS64_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH7875	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01682_2.00	MS64_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH9335	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01683_2.00	MS64_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH1294	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01684_2.00	MS64_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH8550	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01685_2.00	MS64_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH9279	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01686_2.00	MS64_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH9260	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01687_2.00	MS64_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH9209	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01688_2.00	MS64_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH8406	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01689_2.00	MS64_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH9295	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01690_2.00	MS64_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH8997	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01691_2.00	MS64_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH9097	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01692_2.00	MS64_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH9380	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01693_2.00	MS64_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH8916	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M01694_2.00	MS64_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	pTH8863	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M02652_2.00	MS31_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	MA0045.1	SELEX	JASPAR	JASPAR	Mathelier	2014	24194598	August 2014	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M05900_2.00	MS19_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	Xrp1_CG6272_SANGER_5_FBgn0261113	B1H	FlyFactorSurvey	B1H	Zhu	2011	21097781	July 2012	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M07439_2.00	MS31_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	D	AT hook	AT_hook	1	0.989594959467439	MA0398.1	PBM, CSA and or DIP-chip	JASPAR	JASPAR	Mathelier	2014	24194598	August 2014	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M08478_2.00	MS13_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	D	AT hook	AT_hook	1	0.989594959467439	YDR310C_383	Misc	DeBoer11	Misc	DeBoer	2011	22102575	June 2011	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M08479_2.00	MS13_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	D	AT hook	AT_hook	1	0.989594959467439	YDR310C_478	Misc	DeBoer11	Misc	DeBoer	2011	22102575	June 2011	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M09769_2.00	MS59_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	V$HMGIY_01	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M09770_2.00	MS59_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	V$HMGIY_Q4	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M09771_2.00	MS59_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	V$HMGA2_01	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017887_2.00	F039_2.00	TS12_2.00	M09772_2.00	MS59_2.00	YDR310C	SUM1	Saccharomyces_cerevisiae	I	AT hook	AT_hook	1	0.989594959467439	P$HMGIY_01	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T027919_2.00	F077_2.00	TS12_2.00	.	.	YGR071C	ENV11	Saccharomyces_cerevisiae	N	BED ZF	zf-BED	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046364_2.00	F082_2.00	TS12_2.00	M01518_2.00	MS63_2.00	YBL103C	RTG3	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	Rtg3	PBM	Zhu09	PBM	Zhu	2009	19158363	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046364_2.00	F082_2.00	TS12_2.00	M08480_2.00	MS13_2.00	YBL103C	RTG3	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	YBL103C_1445	Misc	DeBoer11	Misc	DeBoer	2011	22102575	June 2011	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046364_2.00	F082_2.00	TS12_2.00	M08481_2.00	MS13_2.00	YBL103C	RTG3	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	YBL103C_1446	Misc	DeBoer11	Misc	DeBoer	2011	22102575	June 2011	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046364_2.00	F082_2.00	TS12_2.00	M08482_2.00	MS13_2.00	YBL103C	RTG3	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	YBL103C_870	Misc	DeBoer11	Misc	DeBoer	2011	22102575	June 2011	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046365_2.00	F082_2.00	TS12_2.00	M08405_2.00	MS31_2.00	YDR123C	INO2	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	MA0321.1	ChIP-chip	JASPAR	JASPAR	Mathelier	2014	24194598	August 2014	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046365_2.00	F082_2.00	TS12_2.00	M08483_2.00	MS13_2.00	YDR123C	INO2	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	YDR123C_713	Misc	DeBoer11	Misc	DeBoer	2011	22102575	June 2011	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046365_2.00	F082_2.00	TS12_2.00	M09895_2.00	MS59_2.00	YDR123C	INO2	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	F$INO2_01	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046366_2.00	F082_2.00	TS12_2.00	M00009_2.00	MS01_2.00	YFR034C	PHO4	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	PHO4_4536	PBM	Badis08	PBM	Badis	2008	19111667	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046366_2.00	F082_2.00	TS12_2.00	M01519_2.00	MS63_2.00	YFR034C	PHO4	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	Pho4	PBM	Zhu09	PBM	Zhu	2009	19158363	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046366_2.00	F082_2.00	TS12_2.00	M08484_2.00	MS13_2.00	YFR034C	PHO4	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	YFR034C_1390	Misc	DeBoer11	Misc	DeBoer	2011	22102575	June 2011	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046366_2.00	F082_2.00	TS12_2.00	M09482_2.00	MS28_2.00	YFR034C	PHO4	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	Yeast-Pho4_GSE29506	Misc	HOMER	Misc	Heinz	2010	20513432	January 2016	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046366_2.00	F082_2.00	TS12_2.00	M09896_2.00	MS59_2.00	YFR034C	PHO4	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	F$PHO4_01	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046367_2.00	F082_2.00	TS12_2.00	M00010_2.00	MS01_2.00	YJR060W	CBF1	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	CBF1_2160	PBM	Badis08	PBM	Badis	2008	19111667	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046367_2.00	F082_2.00	TS12_2.00	M00374_2.00	MS05_2.00	YJR060W	CBF1	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	Cbf1	PBM	Berger06	PBM	Berger	2006	16998473	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046367_2.00	F082_2.00	TS12_2.00	M01520_2.00	MS63_2.00	YJR060W	CBF1	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	Cbf1	PBM	Zhu09	PBM	Zhu	2009	19158363	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046367_2.00	F082_2.00	TS12_2.00	M07440_2.00	MS31_2.00	YJR060W	CBF1	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	MA0281.1	PBM, CSA and or DIP-chip	JASPAR	JASPAR	Mathelier	2014	24194598	August 2014	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046367_2.00	F082_2.00	TS12_2.00	M08485_2.00	MS13_2.00	YJR060W	CBF1	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	YJR060W_1347	Misc	DeBoer11	Misc	DeBoer	2011	22102575	June 2011	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046367_2.00	F082_2.00	TS12_2.00	M09483_2.00	MS28_2.00	YJR060W	CBF1	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	Yeast-Cbf1_GSE29506	Misc	HOMER	Misc	Heinz	2010	20513432	January 2016	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046367_2.00	F082_2.00	TS12_2.00	M09897_2.00	MS59_2.00	YJR060W	CBF1	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	F$CBF1_02	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046367_2.00	F082_2.00	TS12_2.00	M09898_2.00	MS59_2.00	YJR060W	CBF1	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	F$CBF1_03	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046367_2.00	F082_2.00	TS12_2.00	M09899_2.00	MS59_2.00	YJR060W	CBF1	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	F$CBF1_04	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046367_2.00	F082_2.00	TS12_2.00	M09900_2.00	MS59_2.00	YJR060W	CBF1	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	F$CBF1_B	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046367_2.00	F082_2.00	TS12_2.00	M09901_2.00	MS59_2.00	YJR060W	CBF1	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	F$CBF1_Q6	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046368_2.00	F082_2.00	TS12_2.00	M08486_2.00	MS13_2.00	YOL067C	RTG1	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	YOL067C_1493	Misc	DeBoer11	Misc	DeBoer	2011	22102575	June 2011	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046368_2.00	F082_2.00	TS12_2.00	M08487_2.00	MS13_2.00	YOL067C	RTG1	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	YOL067C_1494	Misc	DeBoer11	Misc	DeBoer	2011	22102575	June 2011	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046369_2.00	F082_2.00	TS12_2.00	M08406_2.00	MS31_2.00	YOL108C	INO4	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	MA0322.1	ChIP-chip	JASPAR	JASPAR	Mathelier	2014	24194598	August 2014	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046369_2.00	F082_2.00	TS12_2.00	M09902_2.00	MS59_2.00	YOL108C	INO4	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	F$INO4_01	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046370_2.00	F082_2.00	TS12_2.00	M08488_2.00	MS13_2.00	YOR032C	HMS1	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	YOR032C_1498	Misc	DeBoer11	Misc	DeBoer	2011	22102575	June 2011	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046371_2.00	F082_2.00	TS12_2.00	M00011_2.00	MS01_2.00	YOR344C	TYE7	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	TYE7_2097	PBM	Badis08	PBM	Badis	2008	19111667	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046371_2.00	F082_2.00	TS12_2.00	M01521_2.00	MS63_2.00	YOR344C	TYE7	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	Tye7	PBM	Zhu09	PBM	Zhu	2009	19158363	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046371_2.00	F082_2.00	TS12_2.00	M07441_2.00	MS31_2.00	YOR344C	TYE7	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	MA0409.1	PBM, CSA and or DIP-chip	JASPAR	JASPAR	Mathelier	2014	24194598	August 2014	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T046371_2.00	F082_2.00	TS12_2.00	M08489_2.00	MS13_2.00	YOR344C	TYE7	Saccharomyces_cerevisiae	D	bHLH	HLH	1	0.837833807768996	YOR344C_397	Misc	DeBoer11	Misc	DeBoer	2011	22102575	June 2011	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
